text,OpenSearchQuery
translate English to OpenSearch query: Aggregate by age and count,"GET /_search { ""aggs"": { ""age"": { ""terms"": { ""field"": ""age"" }}, ""aggs"": { ""count"": { ""value_count"": { ""field"": ""_index"" }}}}}"
translate English to OpenSearch query: Aggregate by age and average,"GET /_search { ""aggs"": { ""age"": { ""terms"": { ""field"": ""age"" }}, ""aggs"": { ""average"": { ""avg"": { ""field"": ""age"" }}}}}"
translate English to OpenSearch query: Aggregate by age and sum,"GET /_search { ""aggs"": { ""age"": { ""terms"": { ""field"": ""age"" }}, ""aggs"": { ""sum"": { ""sum"": { ""field"": ""age"" }}}}}"
translate English to OpenSearch query: Aggregate by status and count,"GET /_search { ""aggs"": { ""status"": { ""terms"": { ""field"": ""status"" }}, ""aggs"": { ""count"": { ""value_count"": { ""field"": ""_index"" }}}}}"
translate English to OpenSearch query: Aggregate by status and average,"GET /_search { ""aggs"": { ""status"": { ""terms"": { ""field"": ""status"" }}, ""aggs"": { ""average"": { ""avg"": { ""field"": ""status"" }}}}}"
translate English to OpenSearch query: Aggregate by status and sum,"GET /_search { ""aggs"": { ""status"": { ""terms"": { ""field"": ""status"" }}, ""aggs"": { ""sum"": { ""sum"": { ""field"": ""status"" }}}}}"
translate English to OpenSearch query: Aggregate by status and min,"GET /_search { ""aggs"": { ""status"": { ""terms"": { ""field"": ""status"" }}, ""aggs"": { ""min"": { ""min"": { ""field"": ""status"" }}}}}"
translate English to OpenSearch query: Aggregate by status and max,"GET /_search { ""aggs"": { ""status"": { ""terms"": { ""field"": ""status"" }}, ""aggs"": { ""max"": { ""max"": { ""field"": ""status"" }}}}}"
translate English to OpenSearch query: Get documents with name starting with J,"GET /_search { ""query"": { ""wildcard"": { ""name"": ""J*"" }}}"
translate English to OpenSearch query: Get documents with name ending with n,"GET /_search { ""query"": { ""wildcard"": { ""name"": ""*n"" }}}"
translate English to OpenSearch query: Get documents with name containing ohn,"GET /_search { ""query"": { ""wildcard"": { ""name"": ""*ohn*"" }}}"
translate English to OpenSearch query: Get documents with status failed and date after 2021-01-01,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""status"": ""failed"" }}, { ""range"": { ""date"": { ""gt"": ""2021-01-01"" }}}]}}}"
translate English to OpenSearch query: Get documents with severity high and date before 2021-01-01,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""severity"": ""high"" }}, { ""range"": { ""date"": { ""lt"": ""2021-01-01"" }}}]}}}"
translate English to OpenSearch query: Aggregate by severity and count,"GET /_search { ""aggs"": { ""severity"": { ""terms"": { ""field"": ""severity"" }}, ""aggs"": { ""count"": { ""value_count"": { ""field"": ""_index"" }}}}}"
translate English to OpenSearch query: Aggregate by severity and average,"GET /_search { ""aggs"": { ""severity"": { ""terms"": { ""field"": ""severity"" }}, ""aggs"": { ""average"": { ""avg"": { ""field"": ""severity"" }}}}}"
translate English to OpenSearch query: Aggregate by severity and sum,"GET /_search { ""aggs"": { ""severity"": { ""terms"": { ""field"": ""severity"" }}, ""aggs"": { ""sum"": { ""sum"": { ""field"": ""severity"" }}}}}"
translate English to OpenSearch query: Aggregate by severity and min,"GET /_search { ""aggs"": { ""severity"": { ""terms"": { ""field"": ""severity"" }}, ""aggs"": { ""min"": { ""min"": { ""field"": ""severity"" }}}}}"
translate English to OpenSearch query: Aggregate by severity and max,"GET /_search { ""aggs"": { ""severity"": { ""terms"": { ""field"": ""severity"" }}, ""aggs"": { ""max"": { ""max"": { ""field"": ""severity"" }}}}}"
translate English to OpenSearch query: Get documents with status failed and severity high,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""status"": ""failed"" }}, { ""match"": { ""severity"": ""high"" }}]}}}"
translate English to OpenSearch query: Get documents with name John and age greater than 30,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""name"": ""John"" }}, { ""range"": { ""age"": { ""gt"": 30 }}}]}}}"
translate English to OpenSearch query: Get documents with name John and age less than 30,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""name"": ""John"" }}, { ""range"": { ""age"": { ""lt"": 30 }}}]}}}"
translate English to OpenSearch query: Get documents with name John and age between 20 and 30,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""name"": ""John"" }}, { ""range"": { ""age"": { ""gte"": 20, ""lte"": 30 }}}]}}}"
translate English to OpenSearch query: Get documents with name John and status active,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""name"": ""John"" }}, { ""match"": { ""status"": ""active"" }}]}}}"
translate English to OpenSearch query: Get documents with name John and status inactive,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""name"": ""John"" }}, { ""match"": { ""status"": ""inactive"" }}]}}}"
translate English to OpenSearch query: Get documents with name John and date after 2020-01-01,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""name"": ""John"" }}, { ""range"": { ""date"": { ""gt"": ""2020-01-01"" }}}]}}}"
translate English to OpenSearch query: Get documents with name John and date before 2020-01-01,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""name"": ""John"" }}, { ""range"": { ""date"": { ""lt"": ""2020-01-01"" }}}]}}}"
translate English to OpenSearch query: Get documents with status active and age greater than 30,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""status"": ""active"" }}, { ""range"": { ""age"": { ""gt"": 30 }}}]}}}"
translate English to OpenSearch query: Get documents with status inactive and age less than 30,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""status"": ""inactive"" }}, { ""range"": { ""age"": { ""lt"": 30 }}}]}}}"
translate English to OpenSearch query: Get documents with status active and date after 2020-01-01,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""status"": ""active"" }}, { ""range"": { ""date"": { ""gt"": ""2020-01-01"" }}}]}}}"
translate English to OpenSearch query: Get documents with status inactive and date before 2020-01-01,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""status"": ""inactive"" }}, { ""range"": { ""date"": { ""lt"": ""2020-01-01"" }}}]}}}"
translate English to OpenSearch query: Aggregate by status and severity,"GET /_search { ""aggs"": { ""status"": { ""terms"": { ""field"": ""status"" }}, ""aggs"": { ""severity"": { ""terms"": { ""field"": ""severity"" }}}}}"
translate English to OpenSearch query: Aggregate by status and age,"GET /_search { ""aggs"": { ""status"": { ""terms"": { ""field"": ""status"" }}, ""aggs"": { ""age"": { ""terms"": { ""field"": ""age"" }}}}}"
translate English to OpenSearch query: Aggregate by status and date,"GET /_search { ""aggs"": { ""status"": { ""terms"": { ""field"": ""status"" }}, ""aggs"": { ""date"": { ""terms"": { ""field"": ""date"" }}}}}"
translate English to OpenSearch query: Aggregate by severity and age,"GET /_search { ""aggs"": { ""severity"": { ""terms"": { ""field"": ""severity"" }}, ""aggs"": { ""age"": { ""terms"": { ""field"": ""age"" }}}}}"
translate English to OpenSearch query: Aggregate by severity and date,"GET /_search { ""aggs"": { ""severity"": { ""terms"": { ""field"": ""severity"" }}, ""aggs"": { ""date"": { ""terms"": { ""field"": ""date"" }}}}}"
translate English to OpenSearch query: Aggregate by age and date,"GET /_search { ""aggs"": { ""age"": { ""terms"": { ""field"": ""age"" }}, ""aggs"": { ""date"": { ""terms"": { ""field"": ""date"" }}}}}"
translate English to OpenSearch query: Aggregate by age and status,"GET /_search { ""aggs"": { ""age"": { ""terms"": { ""field"": ""age"" }}, ""aggs"": { ""status"": { ""terms"": { ""field"": ""status"" }}}}}"
translate English to OpenSearch query: Get documents with name John and severity high,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""name"": ""John"" }}, { ""match"": { ""severity"": ""high"" }}]}}}"
translate English to OpenSearch query: Get documents with name John and date after 2021-01-01,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""name"": ""John"" }}, { ""range"": { ""date"": { ""gt"": ""2021-01-01"" }}}]}}}"
translate English to OpenSearch query: Get documents with name John and date before 2021-01-01,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""name"": ""John"" }}, { ""range"": { ""date"": { ""lt"": ""2021-01-01"" }}}]}}}"
translate English to OpenSearch query: Get documents with status failed and age greater than 30,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""status"": ""failed"" }}, { ""range"": { ""age"": { ""gt"": 30 }}}]}}}"
translate English to OpenSearch query: Get documents with severity high and age less than 30,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""severity"": ""high"" }}, { ""range"": { ""age"": { ""lt"": 30 }}}]}}}"
translate English to OpenSearch query: Get documents with status failed and date after 2021-01-01,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""status"": ""failed"" }}, { ""range"": { ""date"": { ""gt"": ""2021-01-01"" }}}]}}}"
translate English to OpenSearch query: Get documents with severity high and date before 2021-01-01,"GET /_search { ""query"": { ""bool"": { ""must"": [{ ""match"": { ""severity"": ""high"" }}, { ""range"": { ""date"": { ""lt"": ""2021-01-01"" }}}]}}}"
"translate English to OpenSearch query: Aggregate by status, severity and age","GET /_search { ""aggs"": { ""status"": { ""terms"": { ""field"": ""status"" }}, ""aggs"": { ""severity"": { ""terms"": { ""field"": ""severity"" }}, ""aggs"": { ""age"": { ""terms"": { ""field"": ""age"" }}}}}}"
"translate English to OpenSearch query: Aggregate by status, severity and date","GET /_search { ""aggs"": { ""status"": { ""terms"": { ""field"": ""status"" }}, ""aggs"": { ""severity"": { ""terms"": { ""field"": ""severity"" }}, ""aggs"": { ""date"": { ""terms"": { ""field"": ""date"" }}}}}}"
"translate English to OpenSearch query: Aggregate by severity, age and date","GET /_search { ""aggs"": { ""severity"": { ""terms"": { ""field"": ""severity"" }}, ""aggs"": { ""age"": { ""terms"": { ""field"": ""age"" }}, ""aggs"": { ""date"": { ""terms"": { ""field"": ""date"" }}}}}}"
"translate English to OpenSearch query: Aggregate by age, status and date","GET /_search { ""aggs"": { ""age"": { ""terms"": { ""field"": ""age"" }}, ""aggs"": { ""status"": { ""terms"": { ""field"": ""status"" }}, ""aggs"": { ""date"": { ""terms"": { ""field"": ""date"" }}}}}}"
translate English to OpenSearch query: Get documents with name starting with A,"GET /_search { ""query"": { ""wildcard"": { ""name"": ""A*"" }}}"
translate English to OpenSearch query: Get documents with name ending with Z,"GET /_search { ""query"": { ""wildcard"": { ""name"": ""*Z"" }}}"
translate English to OpenSearch query: Get documents with name containing BCD,"GET /_search { ""query"": { ""wildcard"": { ""name"": ""*BCD*"" }}}"
translate English to OpenSearch query: Get documents with status pending,"GET /_search { ""query"": { ""match"": { ""status"": ""pending"" }}}"
translate English to OpenSearch query: Get documents with severity medium,"GET /_search { ""query"": { ""match"": { ""severity"": ""medium"" }}}"
translate English to OpenSearch query: Get documents with priority high,"GET /_search { ""query"": { ""match"": { ""priority"": ""high"" }}}"
translate English to OpenSearch query: Get documents with priority low,"GET /_search { ""query"": { ""match"": { ""priority"": ""low"" }}}"
translate English to OpenSearch query: Get documents with priority medium,"GET /_search { ""query"": { ""match"": { ""priority"": ""medium"" }}}"
translate English to OpenSearch query: Aggregate by priority and count,"GET /_search { ""aggs"": { ""priority"": { ""terms"": { ""field"": ""priority"" }}, ""aggs"": { ""count"": { ""value_count"": { ""field"": ""_index"" }}}}}"
translate English to OpenSearch query: Aggregate by priority and average,"GET /_search { ""aggs"": { ""priority"": { ""terms"": { ""field"": ""priority"" }}, ""aggs"": { ""average"": { ""avg"": { ""field"": ""priority"" }}}}}"
translate English to OpenSearch query: Aggregate by priority and sum,"GET /_search { ""aggs"": { ""priority"": { ""terms"": { ""field"": ""priority"" }}, ""aggs"": { ""sum"": { ""sum"": { ""field"": ""priority"" }}}}}"
translate English to OpenSearch query: Aggregate by priority and min,"GET /_search { ""aggs"": { ""priority"": { ""terms"": { ""field"": ""priority"" }}, ""aggs"": { ""min"": { ""min"": { ""field"": ""priority"" }}}}}"
translate English to OpenSearch query: Aggregate by priority and max,"GET /_search { ""aggs"": { ""priority"": { ""terms"": { ""field"": ""priority"" }}, ""aggs"": { ""max"": { ""max"": { ""field"": ""priority"" }}}}}"
